Chemical compound	Metabolic activity	Microbial species or host cell type
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Bacillus subtilis
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Corynebacterium glutamicum
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Enterobacter cancerogenus
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Enterobacter cloacae
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import) & production (export)	Klebsiella pneumoniae
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Klebsiella variicola
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Lactobacillus plantarum
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pelobacter carbinolicus
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pelobacter propionicus
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pseudomonas aeruginosa
1,2-diacylglycerol (1-acylglycerol, Monoacylglycerol, Monoglyceride, Monoacylglycerol)	Consumption (import)	Colonocyte (host colon)
1,2-Ethanediol (Ethylene glycol)	Production (export)	Bacteroides thetaiotaomicron
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelobacter carbinolicus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelobacter propionicus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelotomaculum thermopropionicum
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophobacter fumaroxidans
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophobotulus glycolicus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophomonas wolfei
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophothermus lipocalidus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophus aciditrophicus
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Production (export)	Bacteroides thetaiotaomicron
