parent,child
h6,g__Helicobacter|s__cholecystus
c__Alphaproteobacteria,g__Sphingopyxis|s__sp. QXT-31
h6,g__Colwellia|s__sp. PAMC 20917
D-MannoseMannoseConsumptionimport,g__Shigella|s__boydii
h5,g__Calothrix|s__brevissima
h7,g__Lactobacillus|s__sp. CBA3606
h4,g__Arcobacter|s__cloacae
h2,g__Rathayibacter|s__sp. VKM Ac-2804
h0,g__Brevundimonas|s__sp. 'scallop'
h6,g__Sphingobium|s__sp. TKS
80,g__Lactobacillus|s__jensenii
h2,g__Kosmotoga|s__bacterium 36B
h6,g__Streptomyces|s__gilvosporeus
c__Actinobacteria,g__Cryobacterium|s__arcticum
h1,g__Corynebacterium|s__humireducens
h7,g__Cedecea|s__neteri
h1,g__Hypericibacter|s__adhaerens
h2,g__Acidimicrobium|s__ferrooxidans
h0,g__Capnocytophaga|s__cynodegmi
h7,g__Pseudarthrobacter|s__chlorophenolicus
D-GlucoseGlucoseConsumptionimport,g__Haloferax|s__volcanii
h2,g__Bordetella|s__petrii
h9,g__Euhalothece|s__natronophila
h0,g__Actinomyces|s__sp. oral taxon 171
h5,g__Tardiphaga|s__sp. vice304
c__Cytophagia,g__Hymenobacter|s__sedentarius
h1,g__Boseongicola|s__sp. CCM32
h2,g__Lysobacter|s__lycopersici
h5,g__Limosilactobacillus|s__Lactobacillus frumenti
c__Flavobacteriia,g__Kaistella|s__Chryseobacterium haifense
h7,g__Bacillus|s__mojavensis
c__Gammaproteobacteria,g__Ferrimonas|s__balearica
output,231
c__Actinobacteria,g__Arthrobacter|s__citreus
c__Epsilonproteobacteria,g__Helicobacter|s__canis
h3,g__Chloroflexus|s__aurantiacus
h4,g__Paenibacillus|s__terrae
h6,g__Bosea|s__sp. PAMC 26642
h6,g__Dickeya|s__sp. NCPPB 3274
h6,g__Thermoanaerobacter|s__pseudethanolicus
2,g__Raoultella|s__Enterobacteriaceae endosymbiont of Plateumaris rustica
h4,g__Rothia|s__mucilaginosa
h5,g__Pigmentiphaga|s__aceris
h8,g__Methylobacterium|s__nodulans
h9,g__Streptococcus|s__parasanguinis
h9,g__Thalassobius|s__gelatinovorus
h4,g__Methylobacterium|s__sp. 4-46
h6,g__Cronobacter|s__sp. JZ38
