parent,child
h4,g__Thermococcus|s__sibiricus
h6,g__Rhodoluna|s__lacicola
h3,g__Rhodoplanes|s__sp. Z2-YC6860
h5,g__Thiocystis|s__violascens
h0,g__Rummeliibacillus|s__stabekisii
g__Sphingobium,g__Sphingobium|s__sp. KCTC 72723
g__Streptomyces,g__Streptomyces|s__sp. GF20
h8,g__Klebsiella|s__sp. PO552
h8,g__Natrinema|s__sp. J7-2
h9,g__Pseudomonas|s__sp. WCS374
h1,g__Nonlabens|s__sp. MB-3u-79
h3,g__Silicimonas|s__algicola
h8,g__Gordonia|s__sp. KTR9
h1,g__Cellvibrio|s__japonicus
h9,g__Anaplasma|s__centrale
h6,g__Acinetobacter|s__cumulans
h7,g__Bacillus|s__flexus
h2,g__Brevundimonas|s__vancanneytii
h0,g__Bacteroides|s__uniformis
h4,g__Leclercia|s__sp. J807
h9,g__Mycolicibacterium|s__poriferae
h5,g__Enterobacter|s__sp. Crenshaw
g__Aureimonas,g__Aureimonas|s__sp. AU20
h1,g__Pseudoalteromonas|s__aliena
h6,g__Bifidobacterium|s__coryneforme
g__Thiomicrorhabdus,g__Thiomicrorhabdus|s__indica
84,g__Microbacterium|s__sp. WY121
h3,g__Staphylococcus|s__nepalensis
h1,g__Leadbetterella|s__byssophila
h0,g__Pseudomonas|s__sp. phDV1
h1,g__Bacillus|s__sp. HD4P25
h3,g__Leminorella|s__richardii
h2,g__Candidatus Cardinium|s__Cardinium endosymbiont of Encarsia pergandiella
h2,g__Corynebacterium|s__crudilactis
h5,g__Mesorhizobium|s__sp. M1D.F.Ca.ET.043.01.1.1
h9,g__Sphingomonas|s__koreensis
ThiamineVitaminB1ThiaminConsumptionimport,g__Clostridium|s__beijerinckii
h0,g__Ornithinimicrobium|s__sp. AMA3305
h7,g__Micrococcus|s__sp. 28
h0,g__Paenibacillus|s__sp. IHBB 10380
h3,g__Paenibacillus|s__sp. JNUCC-31
h4,g__Anaerostipes|s__rhamnosivorans
h8,g__Candidatus Kinetoplastibacterium|s__galatii
h0,g__Cellulomonas|s__shaoxiangyii
h3,g__Bartonella|s__clarridgeiae
h0,g__Nocardiopsis|s__gilva
h0,g__Paraliobacillus|s__sp. X-1125
h9,g__Haemophilus|s__pittmaniae
h6,g__Photorhabdus|s__asymbiotica
h9,g__Xylophilus|s__rhododendri
h1,g__Streptococcus|s__canis
h7,g__Streptomyces|s__actuosus
h7,g__Brucella|s__sp. 10RB9215
h4,g__Loigolactobacillus|s__Lactobacillus coryniformis
h4,g__Citrobacter|s__sp. RHBSTW-00107
23,g__Cobetia|s__marina
h5,g__Tabrizicola|s__piscis
h2,g__Thermococcus|s__onnurineus
h4,g__Acinetobacter|s__sp. WCHAc010034
h5,g__Agrobacterium|s__rhizogenes
h6,g__Mycolicibacterium|s__sarraceniae
h0,g__Enterobacter|s__cancerogenus
h1,g__Komagataeibacter|s__saccharivorans
output,32
h7,g__Pseudomonas|s__sp. NS1(2017)
h8,g__Pseudomonas|s__taiwanensis
h1,g__Lysobacter|s__soli
g__Bifidobacterium,g__Bifidobacterium|s__choerinum
h9,g__Bradyrhizobium|s__sp. TM102
h4,g__Thioflavicoccus|s__mobilis
h6,g__Leptolyngbya|s__sp. PCC 7376
CelluloseBeta-D-glucanMacromoleculedegradation,g__Clostridium|s__cellulovorans
h1,g__Paraclostridium|s__bifermentans
h6,g__Enterococcus|s__gallinarum
h6,g__Brucella|s__sp. 2280
output,g__CandidatusSneabacter
h3,g__Alistipes|s__shahii
h2,g__Roseobacter|s__ponti
h6,g__Lactobacillus|s__sp. 3B(2020)
g__Rhodococcus,g__Rhodococcus|s__sp. 2G
h0,g__Blautia|s__hansenii
h5,g__Echinicola|s__sp. LN3S3
h1,g__Citrobacter|s__sp. SL156
h6,g__Paenibacillus|s__beijingensis
h9,g__Agromyces|s__sp. HY052
h0,g__Amylolactobacillus|s__amylophilus
h4,g__Gottschalkia|s__acidurici
h6,g__Caldicellulosiruptor|s__changbaiensis
h2,g__Staphylococcus|s__capitis
h9,g__Faecalibacterium|s__prausnitzii
h0,g__Thermotoga|s__sp. RQ7
90,g__Jiangella|s__sp. DSM 45060
h0,g__Pseudarthrobacter|s__phenanthrenivorans
h0,g__Thermotoga|s__profunda
h6,g__Parageobacillus|s__toebii
h5,g__Catenulispora|s__acidiphila
h1,g__Sphingobacterium|s__multivorum
h0,g__Rickettsia|s__africae
h7,g__Bacteroides|s__caccae
g__Shewanella,g__Shewanella|s__denitrificans
h9,g__Streptomyces|s__antimycoticus
h0,g__Paenibacillus|s__sp. JZ16
h3,g__Streptomyces|s__spectabilis
h1,g__Nitrosopumilus|s__Candidatus Nitrosopumilus sediminis
g__Microbacterium,g__Microbacterium|s__sp. PAMC 28756
h4,g__Devosia|s__sp. S02
h2,g__Aeromonas|s__sp. WP2-W18-CRE-05
h8,g__Paraburkholderia|s__phymatum
h4,g__Streptacidiphilus|s__sp. P02-A3a
