parent,child
h9,g__Salinibacterium|s__sp. dk2585
h3,g__Acinetobacter|s__ursingii
h4,g__Coprothermobacter|s__proteolyticus
k__Bacteria,g__Rhizobium|s__selenitireducens
h6,g__Hymenobacter|s__sedentarius
H2SHS-Productionexport,g__Acidaminococcus|s__fermentans
h2,g__Clostridium|s__cellulovorans
h2,g__Paraburkholderia|s__sp. Msb3
h0,g__Paenibacillus|s__physcomitrellae
h7,g__Chlorobaculum|s__tepidum
h9,g__Streptomyces|s__albus
265,g__Azospirillum|s__oryzae
k__Bacteria,g__Anoxybacillus|s__gonensis
h5,g__Agarivorans|s__gilvus
h9,g__Xylella|s__fastidiosa
h9,g__Enterobacter|s__sp. Crenshaw
h2,g__Vibrio|s__taketomensis
h5,g__Mycoplasma|s__maculosum
h6,g__Rathayibacter|s__sp. VKM Ac-2804
h7,g__Chitinophaga|s__sp. MD30
h8,g__Methanocella|s__paludicola
h3,g__Nostoc|s__sp. ATCC 53789
h7,g__Halomonas|s__sp. JS92-SW72
h3,g__Dolosigranulum|s__pigrum
h4,g__Synechococcus|s__sp. KORDI-100
h4,g__Deinococcus|s__sp. D7000
h9,g__Pedobacter|s__sp. HDW13
h7,g__Deinococcus|s__sp. S14-83
k__Bacteria,g__Psychrobacillus|s__sp. AK 1817
h0,g__Fusobacterium|s__necrophorum
h1,g__Isoptericola|s__variabilis
h6,g__Corynebacterium|s__sp. 2039
h9,g__Xanthomonas|s__vesicatoria
h5,g__Natrinema|s__pallidum
h1,g__Nocardioides|s__sp. 603
h1,g__Halomonas|s__sp. HG01
h2,g__Halobacterium|s__sp. DL1
h9,g__Bacteriovorax|s__stolpii
h6,g__Blattabacterium|s__sp. (Mastotermes darwiniensis)
h9,g__Sporosarcina|s__sp. PTS2304
h7,g__Lacimicrobium|s__alkaliphilum
h7,g__Agromyces|s__sp. KACC 19306
h0,g__Biomaibacter|s__acetigenes
h8,g__Aequorivita|s__sp. H23M31
h9,g__Marinomonas|s__sp. MWYL1
h5,g__Pseudomonas|s__sp. R2-60-08W
h3,g__Lysobacter|s__sp. HDW10
h8,g__Nitratiruptor|s__Pseudomonas sp. ADP
h0,g__Halotalea|s__alkalilenta
h5,g__Bacillus|s__tropicus
h3,g__Chitinimonas|s__arctica
h0,g__Ehrlichia|s__chaffeensis
h1,g__Pseudomonas|s__sp. ADPe
h5,g__Bradyrhizobium|s__cosmicum
h7,g__Peptacetobacter|s__hiranonis
h0,g__Erwinia|s__sp. Ejp617
h5,g__Limnochorda|s__endosymbiont 'TC1' of Trimyema compressum
h7,g__Pectobacterium|s__odoriferum
20,g__Pseudogulbenkiania|s__sp. NH8B
h1,g__Citrobacter|s__rodentium
h3,g__Methanocaldococcus|s__sp. FS406-22
h7,g__Thermococcus|s__sp. 4557
h6,g__Acinetobacter|s__johnsonii
h3,g__Mycoplasma|s__agalactiae
h3,g__Acinetobacter|s__lanii
h3,g__Desulfurella|s__acetivorans
h6,g__Labilibaculum|s__antarcticum
h7,g__Micromonospora|s__echinofusca
h3,g__Roseicitreum|s__antarcticum
AcetateConsumptionimport,g__Geobacter|s__bemidjiensis
h9,g__Pseudoalteromonas|s__sp. 13-15
17,g__Ndongobacter|s__massiliensis
180,g__Actinoalloteichus|s__hymeniacidonis
h0,g__Salinarchaeum|s__sp. Harcht-Bsk1
h0,g__Enterobacter|s__cloacae complex sp. FDA-CDC-AR_0164
IndoleConsumptionimport,g__Desulfovibrio|s__magneticus
h2,g__Limnohabitans|s__sp. 103DPR2
h0,g__Hafnia|s__paralvei
h3,g__Microcystis|s__aeruginosa
h7,g__Marinobacter|s__adhaerens
h4,g__Duncaniella|s__sp. C9
h6,g__Microbulbifer|s__sp. YPW1
h0,g__Rhodobacter|s__blasticus
k__Bacteria,g__Hymenobacter|s__sp. HDW8
k__Bacteria,g__Shewanella|s__algae
h3,g__Micromonospora|s__coriariae
h4,g__Methylovorus|s__sp. MP688
output,260
h7,g__Mycolicibacterium|s__boenickei
h4,g__Chromobacterium|s__vaccinii
h1,g__Corynebacterium|s__sp. NML93-0612
h9,g__Bartonella|s__schoenbuchensis
h5,g__Psychrobacter|s__sp. DAB_AL43B
h9,g__Nocardioides|s__sp. zg-579
h3,g__Sulfolobus|s__sp. S-194
h3,g__Methanothrix|s__thermoacetophila
h3,g__Candidatus Phytoplasma|s__Aster yellows witches'-broom phytoplasma
AcetateProductionexport,g__Pelobacter|s__carbinolicus
h2,g__Mesorhizobium|s__sp. NZP2077
h9,g__Psychroflexus|s__torquis
h8,g__Pseudomonas|s__sp. SNU WT1
EthanolProductionexport,g__Lactobacillus|s__helveticus
output,TaurolithocholateConsumptionimport
h1,g__Skermanella|s__pratensis
h9,g__Romboutsia|s__hominis
h4,g__Bacillus|s__sp. KH172YL63
h6,g__Sulfurospirillum|s__halorespirans
k__Bacteria,g__Pseudomonas|s__sp. phDV1
h6,g__Aureimonas|s__sp. LMG 31693
h2,g__Psychrobacter|s__sp. PRwf-1
h3,g__Bacillus|s__atrophaeus
2,g__Lachnoanaerobaculum|s__umeaense
h4,g__Kocuria|s__sp. TGY1120_3
h2,g__Hymenobacter|s__sp. NBH84
h7,g__Marivirga|s__tractuosa
h1,g__Companilactobacillus|s__Lactobacillus alimentarius
h8,g__Paraburkholderia|s__graminis
h2,g__Actinoalloteichus|s__sp. GBA129-24
h1,g__Leisingera|s__methylohalidivorans
h2,g__Candidatus Paracaedibacter|s__acanthamoebae
h4,g__Burkholderia|s__sp. IDO3
h5,g__Polaromonas|s__vacuolata
h7,g__Adhaeribacter|s__swui
h9,g__Moritella|s__viscosa
h9,g__Paenibacillus|s__sp. M-152
h1,g__Clostridium|s__thermarum
h1,g__Acidipropionibacterium|s__acidipropionici
h2,g__Streptococcus|s__australis
h7,g__Pedobacter|s__steynii
h7,g__Bacteroides|s__caecimuris
h2,g__Wolbachia|s__endosymbiont of Drosophila ananassae
5,g__Fastidiosipila|s__sanguinis
h2,g__Chromobacterium|s__paludis
h0,g__Grimontia|s__hollisae
h5,g__Cohaesibacter|s__sp. ES.047
AcetateProductionexport,g__Citrobacter|s__rodentium
h6,g__Muribaculum|s__sp. TLL-A4
19,g__Schaalia|s__odontolytica
h6,g__Ethanoligenens|s__harbinense
h6,g__Brevibacterium|s__sp. CS2
h3,g__Listeria|s__seeligeri
h6,g__Mycobacterium|s__sp. DL90
h0,g__Pseudomonas|s__sp. R2-60-08W
h2,g__Vibrio|s__sp. THAF191c
h3,g__Flavobacterium|s__sp. MDT1-60
6,g__Meiothermus|s__taiwanensis
AcetateConsumptionimport,g__Methanosarcina|s__mazei
h2,g__Hahella|s__chejuensis
h9,g__Staphylococcus|s__warneri
h9,g__Candidatus Riesia|s__pediculicola
h5,g__Sporosarcina|s__sp.
h8,g__Pedobacter|s__sp. HDW13
k__Bacteria,g__Lysobacter|s__enzymogenes
h4,g__Arcobacter|s__cloacae
h6,g__Microbacterium|s__pygmaeum
h7,g__Methylibium|s__petroleiphilum
h9,g__Streptomyces|s__sp. So13.3
h1,g__Sedimentisphaera|s__salicampi
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,g__Bifidobacterium|s__animalis
h5,g__Porphyrobacter|s__sp. LM 6
128,g__Dickeya|s__dianthicola
h0,g__Mycobacterium|s__simiae
h7,g__Nitrospira|s__Candidatus Nitrospira inopinata
h4,g__Pseudescherichia|s__vulneris
h3,g__Alteromonas|s__naphthalenivorans
h9,g__Mameliella|s__alba
k__Bacteria,g__Micromonospora|s__narathiwatensis
h0,g__Caldilinea|s__aerophila
h9,g__Campylobacter|s__iguaniorum
h0,g__Vibrio|s__rumoiensis
h6,g__Capnocytophaga|s__endodontalis
