parent,child
h4,g__Shewanella|s__donghaensis
h5,g__Bradyrhizobium|s__sp. CCBAU 53421
o__Enterobacterales,g__Citrobacter|s__sp. RHBSTW-01013
h4,g__Natronobacterium|s__gregoryi
h0,g__Desulfovibrio|s__sulfodismutans
o__Chromatiales,g__Granulosicoccus|s__antarcticus
h7,g__Ralstonia|s__solanacearum
h3,g__Xanthomonas|s__fragariae
h3,g__Parabacteroides|s__sp. CT06
h0,g__Georgenia|s__sp. Z443
h5,g__Streptococcus|s__thermophilus
h5,g__Tardiphaga|s__robiniae
h6,g__Halorhabdus|s__utahensis
h6,g__Mycobacterium|s__liflandii
h8,g__Mycobacterium|s__sp. DL592
h1,g__Alteromonas|s__mediterranea
h4,g__Microvirga|s__ossetica
h6,g__Geobacter|s__sulfurreducens
h9,g__Mixta|s__theicola
h2,g__Halosimplex|s__pelagicum
h8,g__Polaribacter|s__sp. L3A8
h0,g__Rouxiella|s__badensis
h1,g__Variovorax|s__sp. 38R
h7,g__Haliscomenobacter|s__hydrossis
o__Pseudomonadales,g__Psychrobacter|s__sp. G
output,302
h7,g__Polaromonas|s__sp.
h7,g__Thiobacillus|s__sp.
h9,g__Rhizobium|s__sp. NT-26
h2,g__Bacteroides|s__zoogleoformans
h0,g__Aminomonas|s__paucivorans
h5,g__Fastidiosipila|s__sanguinis
h3,g__Staphylococcus|s__delphini
h4,g__Rothia|s__terrae
h1,g__Pseudomonas|s__otitidis
h2,g__Neorickettsia|s__findlayensis
AcetateConsumptionimportproductionexport,g__Desulfovibrio|s__salexigens
h0,g__Neisseria|s__polysaccharea
h0,g__Chitinimonas|s__arctica
h2,g__Blattabacterium|s__sp. DPU
h0,g__Streptomyces|s__sp. RPA4-5
h8,g__Sorangium|s__cellulosum
11,g__Aerosticca|s__soli
h8,g__Campylobacter|s__mucosalis
h7,g__Pectobacterium|s__brasiliense
h7,g__Synechococcus|s__sp. BOUM118
h0,g__Bacillus|s__circulans
h2,g__Hydrogenobacter|s__thermophilus
h3,g__Pseudomonas|s__sp. 02C 26
h8,g__Campylobacter|s__sp. CFSAN093224
h9,g__Cyclobacterium|s__amurskyense
h6,g__Arthrobacter|s__sp.
h4,g__Pseudomonas|s__silesiensis
h7,g__Ureaplasma|s__parvum
h8,g__Aureitalea|s__sp. RR4-38
h5,g__Leuconostoc|s__carnosum
h0,g__Methanococcus|s__maripaludis
o__Corynebacteriales,g__Corynebacterium|s__matruchotii
h0,g__Agromyces|s__sp. LHK192
h5,g__Acholeplasma|s__axanthum
o__Propionibacteriales,g__Friedmanniella|s__luteola
h5,g__Micrococcus|s__sp. KBS0714
h7,g__Pseudomonas|s__sp. CC6-YY-74
h3,g__Methylobacterium|s__terrae
h8,g__Sphingobacterium|s__sp. DR205
h7,g__Thioalkalivibrio|s__sulfidiphilus
h3,g__Sphingomonas|s__paucimobilis
h9,g__Caldicellulosiruptor|s__changbaiensis
h9,g__Candidatus Halobonum|s__Halobonum sp. NJ-3-1
h7,g__Paenibacillus|s__albus
h8,g__Nocardioides|s__sp. 78
h9,g__Rickettsia|s__felis
h2,g__Luteimonas|s__granuli
h7,g__Flavobacterium|s__gilvum
h7,g__Hymenobacter|s__baengnokdamensis
h3,g__Dehalococcoides|s__mccartyi
h0,g__Sedimentisphaera|s__cyanobacteriorum
h9,g__Aeropyrum|s__pernix
h0,g__Halostella|s__pelagica
h2,g__Cobetia|s__sp. L2A1
h7,g__Chlamydia|s__abortus
h5,g__Aeromicrobium|s__choanae
h6,g__Paracoccus|s__aminophilus
h8,g__Ereboglobus|s__luteus
h7,g__Leisingera|s__aquaemixtae
h2,g__Bifidobacterium|s__subtile
h4,g__Porphyrobacter|s__sp. YT40
h3,g__Lactococcus|s__sp. TMW21612
h6,g__Leisingera|s__aquaemixtae
h4,g__Flavobacterium|s__johnsoniae
h1,g__Lacipirellula|s__parvula
h0,g__Chryseobacterium|s__bernardetii
h6,g__Gemmobacter|s__sp. HYN0069
h2,g__Marinobacter|s__sp. NP-4(2019)
o__Lactobacillales,g__Streptococcus|s__sp. I-G2
h6,g__Acinetobacter|s__gyllenbergii
h6,g__Simkania|s__negevensis
H2HydrogenProductionexport,g__Geobacter|s__metallireducens
h7,g__Dysosmobacter|s__welbionis
h0,g__Bradyrhizobium|s__sp.
h0,g__Ochrobactrum|s__sp. LM19
h6,g__Methylacidiphilum|s__fumariolicum
h0,g__Caldisphaera|s__lagunensis
o__Lactobacillales,g__Streptococcus|s__sp. 1643
h3,g__Bacillus|s__cereus
PantothenicacidVitaminB5PantothenateConsumptionimport,g__Streptococcus|s__vestibularis
h2,g__Sphingomonas|s__lacunae
h7,g__Flaviflexus|s__sp. H23T48
11,g__Pseudomonas|s__pohangensis
TrimethylamineConsumptionimport,g__Methanosarcina|s__acetivorans
h1,g__Lactobacillus|s__iners
5,g__Candidatus Syntrophocurvum|s__alkaliphilum
h1,g__Haemophilus|s__parainfluenzae
h2,g__Yersinia|s__sp. KBS0713
o__Corynebacteriales,g__Mycobacterium|s__paraseoulense
h3,g__Ruminococcus|s__sp. JE7A12
h3,g__Rheinheimera|s__sp. LHK132
h5,g__Deinococcus|s__geothermalis
h7,g__Spiroplasma|s__alleghenense
h6,g__Streptomyces|s__sp. S063
h4,g__Streptomyces|s__pratensis
h5,g__Rothia|s__aeria
h3,g__Vagococcus|s__penaei
h3,g__Sorangium|s__cellulosum
h7,g__Streptomyces|s__sp. S063
o__Enterobacterales,g__Citrobacter|s__sp. RHBSTW-00107
h3,g__Cellulosimicrobium|s__sp. JZ28
h2,g__Spiroplasma|s__chinense
h6,g__Leucobacter|s__sp. HDW9C
h8,g__Microbacterium|s__sp. L-031
o__Streptomycetales,g__Streptomyces|s__sp. ADI95-16
h3,g__Leptospira|s__kmetyi
h4,g__Pantoea|s__sp. SM3640
L-MethionineD-MethionineConsumptionimport,g__Bacteroides|s__fragilis
h0,g__Dickeya|s__poaceiphila
h5,g__Streptomyces|s__nitrosporeus
h6,g__Pectobacterium|s__brasiliense
h3,g__Sphingobium|s__sp. SYK-6
h1,g__Paenibacillus|s__sp. JNUCC-32
o__Corynebacteriales,g__Corynebacterium|s__aurimucosum
output,o__Salinisphaerales
h0,g__Deinococcus|s__deserti
h0,g__Geminocystis|s__herdmanii
h0,g__Permianibacter|s__aggregans
h0,g__Nostoc|s__sp. 'Lobaria pulmonaria (5183) cyanobiont'
h7,g__Streptomyces|s__lavendulae
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,g__Butyrivibrio|s__fibrisolvens
0,g__Pedobacter|s__roseus
o__Spirochaetales,g__Treponema|s__azotonutricium
106,g__Serratia|s__fonticola
o__Clostridiales,g__Blautia|s__argi
h1,g__Candidatus Pelagibacter|s__sp. RS40
h0,g__Youhaiella|s__tibetensis
h4,g__Campylobacter|s__cuniculorum
h2,g__Natranaerobius|s__thermophilus
h4,g__Bacillus|s__intestinalis
h8,g__Thauera|s__aromatica
output,31
h8,g__Lactococcus|s__sp. TMW21612
h9,g__Rhizobium|s__flavum
h0,g__Desulfobulbus|s__propionicus
h8,g__Vibrio|s__sp. EJY3
