parent,child
h5,g__Mycoplasma|s__arthritidis
p__Proteobacteria,g__Burkholderia|s__mallei
h0,g__Vibrio|s__taketomensis
h1,g__Polaromonas|s__sp. E19S
h3,g__Flavobacterium|s__sp. LPB0248
h4,g__Burkholderia|s__sp. NRF60-BP8
p__Actinobacteria,g__Aeromicrobium|s__sp. MF47
h1,g__Acidovorax|s__citrulli
h6,g__Acinetobacter|s__haemolyticus
h5,g__Neomicrococcus|s__aestuarii
SucroseConsumptionimport,g__Butyrivibrio|s__fibrisolvens
h1,g__Lysinibacillus|s__sp. SGAir0095
h2,g__Arcobacter|s__thereius
h1,g__Streptomyces|s__ambofaciens
h0,g__Mycolicibacter|s__terrae
p__Actinobacteria,g__Rathayibacter|s__iranicus
p__Actinobacteria,g__Pseudarthrobacter|s__sp. NIBRBAC000502772
h5,g__Streptomyces|s__lividans
h8,g__Leadbetterella|s__byssophila
p__Proteobacteria,g__Helicobacter|s__felis
h8,g__Sphaerochaeta|s__pleomorpha
p__Actinobacteria,g__Rhodococcus|s__qingshengii
h8,g__Pseudomonas|s__knackmussii
h9,g__Bdellovibrio|s__sp. NC01
h4,g__Kitasatospora|s__aureofaciens
h0,g__Hungateiclostridium|s__saccincola
h6,g__Synechococcus|s__sp. RCC307
h5,g__Pseudomonas|s__xanthomarina
h6,g__Mycoplasma|s__pulmonis
h5,g__Candidatus Kinetoplastibacterium|s__galatii
h9,g__Enterobacter|s__sp. RHBSTW-00593
h6,g__Psychrobacter|s__sp. DAB_AL43B
h4,g__Wolbachia|s__endosymbiont of Litomosoides sigmodontis
h1,g__Idiomarina|s__sp. X4
h1,g__Actinomyces|s__qiguomingii
h9,g__Edwardsiella|s__sp. LADL05-105
h9,g__Vibrio|s__astriarenae
h3,g__Microbacterium|s__foliorum
h1,g__Erwinia|s__Candidatus Erwinia haradaeae
h3,g__Dyella|s__sp. M7H15-1
h3,g__Bacillus|s__sp. A260
h5,g__Sphingomonas|s__sp. XS-10
h5,g__Formosa|s__sp. Hel3_A1_48
175,g__Corynebacterium|s__frankenforstense
p__Proteobacteria,g__Oceanisphaera|s__profunda
h5,g__Desulfosporosinus|s__acidiphilus
h5,g__Bartonella|s__sp. Raccoon60
p__Euryarchaeota,g__Halosimplex|s__rubrum
h3,g__Synechococcus|s__sp. BIOS-E4-1
p__Actinobacteria,g__Kocuria|s__palustris
h5,g__Streptococcus|s__mitis
h6,g__Rummeliibacillus|s__stabekisii
h7,g__Shewanella|s__sp. YLB-08
h2,g__Vibrio|s__anguillarum
h1,g__Tumebacillus|s__avium
h9,g__Pantoea|s__eucalypti
h9,g__Pseudoalteromonas|s__sp. Bsw20308
h1,g__Bacillus|s__circulans
h6,g__Chitinophaga|s__sp. 1310
h7,g__Glutamicibacter|s__sp. ZJUTW
h2,g__Vibrio|s__alfacsensis
p__Tenericutes,g__Mycoplasma|s__iowae
h6,g__Aeromonas|s__encheleia
p__Bacteroidetes,g__Apibacter|s__raozihei
h2,g__Bacillus|s__sp. OxB-1
h3,g__Actinomyces|s__sp. oral taxon 171
h5,g__Salinimonas|s__lutimaris
h6,g__Bradyrhizobium|s__sp. CCBAU 53421
h6,g__Lautropia|s__mirabilis
h7,g__Leptotrichia|s__buccalis
h8,g__Clostridium|s__baratii
h8,g__Phycicoccus|s__sp. HDW14
h8,g__Sorangium|s__cellulosum
h9,g__Desulfomonile|s__tiedjei
h4,g__Treponema|s__brennaborense
h1,g__Jiangella|s__alkaliphila
h5,g__Streptomyces|s__cyaneogriseus
h7,g__Mesoplasma|s__florum
h9,g__Georgenia|s__faecalis
h9,g__Sphingomonas|s__melonis
h1,g__Saprospira|s__grandis
p__Crenarchaeota,g__Sulfolobus|s__sp. S-194
h4,g__Francisella|s__uliginis
h6,g__Rhodococcus|s__sp. X156
h5,g__Staphylococcus|s__stepanovicii
p__Proteobacteria,g__Mesorhizobium|s__amorphae
h7,g__Bacillus|s__dafuensis
h0,g__Streptomyces|s__tsukubensis
h4,g__Hymenobacter|s__oligotrophus
h2,g__Streptococcus|s__lutetiensis
h4,g__Streptomyces|s__qaidamensis
h5,g__Synechococcus|s__sp. A15-44
h0,g__Bacillus|s__velezensis
h9,g__Gardnerella|s__vaginalis
h9,g__Agrobacterium|s__sp. 33MFTa1.1
h3,g__Rhodococcus|s__sp. 2G
h9,g__Labrenzia|s__sp. THAF82
h6,g__Nocardioides|s__sp. SB3-45
h7,g__Listeria|s__innocua
h8,g__Lactococcus|s__sp. TMW21612
h1,g__Streptococcus|s__pyogenes
h3,g__Klebsiella|s__sp. PO552
p__Proteobacteria,g__Campylobacter|s__hepaticus
h7,g__Alteromonas|s__addita
h9,g__Pseudoalteromonas|s__sp. THAF3
p__Euryarchaeota,g__Halorussus|s__sp. RC-68
h7,g__Klebsiella|s__variicola
h7,g__Pseudoalteromonas|s__sp. MT33b
h9,g__Methylovorus|s__glucosotrophus
h3,g__Mycolicibacterium|s__duvalii
h8,g__Enterobacter|s__hormaechei
0,g__Roseicitreum|s__antarcticum
p__Proteobacteria,g__Brevundimonas|s__diminuta
h4,g__Sphingomonas|s__sp. LMO-1
h8,g__Variovorax|s__sp. RA8
h8,g__Pseudomonas|s__alcaliphila
h5,g__Brachyspira|s__intermedia
h6,g__Lacticaseibacillus|s__paracasei
h0,g__Pseudomonas|s__sp. CMR5c
h2,g__Brucella|s__melitensis
h3,g__Mannheimia|s__sp. BNO311
h9,g__Chloroflexus|s__aurantiacus
h0,g__Wolbachia|s__endosymbiont of Drosophila simulans
p__Euryarchaeota,g__Natronorubrum|s__bangense
h2,g__Micromonospora|s__purpureochromogenes
h3,g__Streptomyces|s__hundungensis
h9,g__Raoultella|s__Enterobacteriaceae endosymbiont of Donacia proxima
h7,g__Tetragenococcus|s__koreensis
h2,g__Erythrobacter|s__litoralis
h5,g__Marinomonas|s__primoryensis
h3,g__Gloeobacter|s__kilaueensis
h3,g__Francisella|s__philomiragia
h5,g__Candidatus Nitrosocaldus|s__cavascurensis
p__Proteobacteria,g__Comamonas|s__aquatica
h1,g__Helicobacter|s__sp. MIT 01-6242
h5,g__Micromonospora|s__echinospora
h8,g__Bacillus|s__sp. ms-22
h0,g__Streptomyces|s__sp. CRXT-G-22
h6,g__Paraglaciecola|s__sp. L1A13
p__Euryarchaeota,g__Halobiforma|s__lacisalsi
p__Bacteroidetes,g__Croceibacter|s__atlanticus
h4,g__Dermabacter|s__jinjuensis
h6,g__Mixta|s__theicola
h9,g__Faecalitalea|s__cylindroides
h6,g__Geobacillus|s__stearothermophilus
h2,g__Exiguobacterium|s__sp. AT1b
h4,g__Georgenia|s__sp. Z294
h6,g__Bifidobacterium|s__breve
h7,g__Streptomyces|s__albus
h6,g__Clostridium|s__formicaceticum
h4,g__Sphingopyxis|s__macrogoltabida
h9,g__Hartmannibacter|s__diazotrophicus
h3,g__Pseudonocardia|s__autotrophica
h4,g__Enterobacter|s__chengduensis
h1,g__Acidovorax|s__sp. 1608163
h4,g__Lysobacter|s__gummosus
FormateConsumptionimport,g__Moorella|s__thermoacetica
h5,g__Citrobacter|s__sp. RHB36-C18
h9,g__Erysipelatoclostridium|s__[Clostridium] innocuum
p__Proteobacteria,g__Mesorhizobium|s__loti
h4,g__Sphingobacterium|s__multivorum
h5,g__Bordetella|s__sp. N
h0,g__Campylobacter|s__ureolyticus
h2,g__Pseudomonas|s__sp. B11D7D
h0,g__Planktomarina|s__temperata
h2,g__Georgenia|s__sp. Z443
h4,g__Rhizobium|s__sp. IE4771
h6,g__Mycolicibacterium|s__fallax
h5,g__Caldicellulosiruptor|s__bescii
h7,g__Sphingobium|s__sp. SCG-1
h8,g__Paraburkholderia|s__caledonica
h8,g__Shewanella|s__sp. YLB-08
h3,g__Streptococcus|s__sp. FDAARGOS_522
h9,g__Blattabacterium|s__sp. (Blaberus giganteus)
h2,g__Borreliella|s__garinii
