iteration,train,validation,error,accuracy,breakCounter
1,138.87558918368728,416.07842919388776,0.4892982797293424,0.5234375,0
2,137.75290085384884,414.86550357243823,0.49544240528862726,0.4765625,0
3,137.24794274737675,414.1789076574634,0.46834517649489293,0.546875,0
4,137.22166352421124,413.96200078403297,0.455762548392069,0.5234375,0
5,137.21073403066052,413.6943651617681,0.44635100098814445,0.5703125,0
6,137.04088265659288,413.24729663896755,0.4409944707329565,0.5703125,0
7,136.76563518503815,412.6694553451681,0.43682210622886575,0.578125,0
8,136.44545796866018,412.03365362382743,0.43070526490023897,0.5546875,0
9,136.15011823985103,411.4182675101422,0.42925554267458366,0.5859375,0
10,135.92332168510592,410.8981981063459,0.4403122347369148,0.6015625,0
20,134.2240821842201,406.2479262222691,0.4178751417000095,0.640625,0
30,132.48515623605994,401.42258276539417,0.44426692500829246,0.5703125,0
40,130.75650041371782,396.458860723514,0.4269602703478145,0.578125,0
50,129.0523406644929,391.5217716890305,0.42101542306047524,0.5546875,0
60,127.36738039519048,386.56427001837983,0.41540885067294436,0.5625,0
70,125.69742656847133,381.59642309849636,0.4090342430809403,0.5859375,0
80,124.04228103655427,376.64362653471,0.4014102215535763,0.5859375,0
90,122.39975441898291,371.72899089770107,0.39701647228561565,0.6015625,0
100,120.77187787950811,366.84456378455724,0.3939070163728038,0.6015625,0
110,119.1585915608764,361.99091736903665,0.3902631035798451,0.6015625,0
120,117.557708853393,357.17887186461155,0.38741567860632686,0.6015625,0
130,115.97082452400687,352.41121349746857,0.3849860176680331,0.6015625,0
140,114.40059074192726,347.68674184221834,0.38212555558046213,0.6015625,0
150,112.84484405515974,343.0118617076735,0.38021320481848986,0.609375,0
160,111.30984184837082,338.3857083185653,0.3786067569292819,0.609375,0
170,109.79141505365872,333.8056265461728,0.3767663412316661,0.609375,0
180,108.29040521989323,329.27350926128094,0.3748125358565283,0.609375,0
190,106.80824813496943,324.7882055558576,0.3723561837938645,0.609375,0
200,105.34222145534557,320.35401640066436,0.37022662952448737,0.609375,0
210,103.89252603910958,315.97037167096863,0.36806772469984816,0.609375,0
220,102.46034975477069,311.6365198750083,0.36564553087639,0.6171875,0
230,101.04501228039027,307.3566314744551,0.36409054675747715,0.625,0
240,99.64716053523257,303.1296064461004,0.36294919681606086,0.625,0
250,98.26660053219281,298.9516677207139,0.36182474444872165,0.6171875,0
