Step	Memory_MB	Time
Start	228.155392	2022-11-10 01:50:36
Data loaded	339.791872	2022-11-10 01:50:37
Setup data	446.119936	2022-11-10 01:50:45
Setup Network	484.409344	2022-11-10 01:52:00
Setup Tensorflow NW	766.230528	2022-11-10 01:52:20
Setup Tensorflow	1411.375104	2022-11-10 01:52:44
Initiated Tensorflow	2369.396736	2022-11-10 01:52:47
Prepared Training	2371.248128	2022-11-10 01:52:47
Trained Tensorflow	7293.37856	2022-11-10 02:59:03
Loaded Best Model	7293.37856	2022-11-10 02:59:03
Tensorflow results accuracy	8238.20288	2022-11-10 03:03:11
Tensorflow numgrad 0	8491.081728	2022-11-10 03:05:17
Tensorflow numgrad 1	8975.794176	2022-11-10 03:09:22
Tensorflow numgrad 10	8975.794176	2022-11-10 03:09:22
Tensorflow numgrad 100	8975.794176	2022-11-10 03:09:22
Tensorflow numgrad 101	8975.794176	2022-11-10 03:09:23
Tensorflow numgrad 102	8975.794176	2022-11-10 03:09:23
Tensorflow numgrad 103	8975.794176	2022-11-10 03:09:23
Tensorflow numgrad 104	8975.794176	2022-11-10 03:09:24
Tensorflow numgrad 105	8975.794176	2022-11-10 03:09:24
Tensorflow numgrad 106	8975.794176	2022-11-10 03:09:25
Tensorflow numgrad 107	8975.794176	2022-11-10 03:09:25
Tensorflow numgrad 108	8975.794176	2022-11-10 03:09:25
Tensorflow numgrad 109	8975.794176	2022-11-10 03:09:26
Tensorflow numgrad 11	8975.794176	2022-11-10 03:09:26
Tensorflow numgrad 110	8975.794176	2022-11-10 03:09:27
Tensorflow numgrad 111	8975.794176	2022-11-10 03:09:27
Tensorflow numgrad 112	8975.794176	2022-11-10 03:09:27
Tensorflow numgrad 113	8975.794176	2022-11-10 03:09:28
Tensorflow numgrad 114	8975.794176	2022-11-10 03:09:28
Tensorflow numgrad 115	8975.794176	2022-11-10 03:09:28
Tensorflow numgrad 116	8975.794176	2022-11-10 03:09:29
Tensorflow numgrad 117	8975.794176	2022-11-10 03:09:29
Tensorflow numgrad 118	8975.794176	2022-11-10 03:09:30
Tensorflow numgrad 119	8975.794176	2022-11-10 03:09:30
Tensorflow numgrad 12	8975.794176	2022-11-10 03:09:30
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	8975.794176	2022-11-10 03:09:31
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	8975.794176	2022-11-10 03:09:31
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	8975.794176	2022-11-10 03:09:31
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	8975.794176	2022-11-10 03:09:32
Tensorflow numgrad 120	8975.794176	2022-11-10 03:09:32
Tensorflow numgrad 121	8975.794176	2022-11-10 03:09:33
Tensorflow numgrad 122	8975.794176	2022-11-10 03:09:33
Tensorflow numgrad 123	8975.794176	2022-11-10 03:09:33
Tensorflow numgrad 124	8975.794176	2022-11-10 03:09:34
Tensorflow numgrad 125	8975.794176	2022-11-10 03:09:34
Tensorflow numgrad 126	8975.794176	2022-11-10 03:09:35
Tensorflow numgrad 127	8975.794176	2022-11-10 03:09:35
Tensorflow numgrad 128	8975.794176	2022-11-10 03:09:35
Tensorflow numgrad 129	8975.794176	2022-11-10 03:09:36
Tensorflow numgrad 13	8975.794176	2022-11-10 03:09:36
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	8975.794176	2022-11-10 03:09:36
Tensorflow numgrad 13-PropanediolProductionexport	8975.794176	2022-11-10 03:09:37
Tensorflow numgrad 130	8975.794176	2022-11-10 03:09:37
Tensorflow numgrad 131	8975.794176	2022-11-10 03:09:38
Tensorflow numgrad 132	8975.794176	2022-11-10 03:09:38
Tensorflow numgrad 133	8975.794176	2022-11-10 03:09:38
Tensorflow numgrad 134	8975.794176	2022-11-10 03:09:39
Tensorflow numgrad 135	8975.794176	2022-11-10 03:09:39
Tensorflow numgrad 136	8975.794176	2022-11-10 03:09:39
Tensorflow numgrad 137	8975.794176	2022-11-10 03:09:40
Tensorflow numgrad 138	8975.794176	2022-11-10 03:09:40
Tensorflow numgrad 139	8975.794176	2022-11-10 03:09:41
Tensorflow numgrad 14	8975.794176	2022-11-10 03:09:41
Tensorflow numgrad 140	8975.794176	2022-11-10 03:09:41
Tensorflow numgrad 141	8975.794176	2022-11-10 03:09:42
Tensorflow numgrad 142	8975.794176	2022-11-10 03:09:42
Tensorflow numgrad 143	8975.794176	2022-11-10 03:09:43
Tensorflow numgrad 144	8975.794176	2022-11-10 03:09:43
Tensorflow numgrad 145	8975.794176	2022-11-10 03:09:43
Tensorflow numgrad 146	8975.794176	2022-11-10 03:09:44
Tensorflow numgrad 147	8975.794176	2022-11-10 03:09:44
Tensorflow numgrad 148	8975.794176	2022-11-10 03:09:44
Tensorflow numgrad 149	8975.794176	2022-11-10 03:09:45
Tensorflow numgrad 15	8975.794176	2022-11-10 03:09:45
Tensorflow numgrad 150	8975.794176	2022-11-10 03:09:46
Tensorflow numgrad 151	8975.794176	2022-11-10 03:09:46
Tensorflow numgrad 152	8975.794176	2022-11-10 03:09:46
Tensorflow numgrad 153	8975.794176	2022-11-10 03:09:47
Tensorflow numgrad 154	8975.794176	2022-11-10 03:09:47
Tensorflow numgrad 155	8975.794176	2022-11-10 03:09:47
Tensorflow numgrad 156	8975.794176	2022-11-10 03:09:48
Tensorflow numgrad 157	8975.794176	2022-11-10 03:09:48
Tensorflow numgrad 158	8975.794176	2022-11-10 03:09:49
Tensorflow numgrad 159	8975.794176	2022-11-10 03:09:49
Tensorflow numgrad 16	8975.794176	2022-11-10 03:09:49
Tensorflow numgrad 160	8975.794176	2022-11-10 03:09:50
Tensorflow numgrad 161	8975.794176	2022-11-10 03:09:50
Tensorflow numgrad 162	8975.794176	2022-11-10 03:09:51
Tensorflow numgrad 163	8975.794176	2022-11-10 03:09:51
Tensorflow numgrad 164	8975.794176	2022-11-10 03:09:51
Tensorflow numgrad 165	8975.794176	2022-11-10 03:09:52
Tensorflow numgrad 166	8975.794176	2022-11-10 03:09:52
Tensorflow numgrad 167	8975.794176	2022-11-10 03:09:52
Tensorflow numgrad 168	8975.794176	2022-11-10 03:09:53
Tensorflow numgrad 169	8975.794176	2022-11-10 03:09:53
Tensorflow numgrad 17	8975.794176	2022-11-10 03:09:54
Tensorflow numgrad 170	8975.794176	2022-11-10 03:09:54
Tensorflow numgrad 171	8975.794176	2022-11-10 03:09:54
Tensorflow numgrad 172	8975.794176	2022-11-10 03:09:55
Tensorflow numgrad 173	8975.794176	2022-11-10 03:09:55
Tensorflow numgrad 174	8975.794176	2022-11-10 03:09:56
Tensorflow numgrad 175	8975.794176	2022-11-10 03:09:56
Tensorflow numgrad 176	8975.794176	2022-11-10 03:09:56
Tensorflow numgrad 177	8975.794176	2022-11-10 03:09:57
Tensorflow numgrad 178	8975.794176	2022-11-10 03:09:57
Tensorflow numgrad 179	8975.794176	2022-11-10 03:09:57
Tensorflow numgrad 18	8975.794176	2022-11-10 03:09:58
Tensorflow numgrad 180	8975.794176	2022-11-10 03:09:58
Tensorflow numgrad 181	8975.794176	2022-11-10 03:09:59
Tensorflow numgrad 182	8975.794176	2022-11-10 03:09:59
Tensorflow numgrad 183	8975.794176	2022-11-10 03:09:59
Tensorflow numgrad 184	8975.794176	2022-11-10 03:10:00
Tensorflow numgrad 185	8975.794176	2022-11-10 03:10:00
Tensorflow numgrad 186	8975.794176	2022-11-10 03:10:00
Tensorflow numgrad 187	8975.794176	2022-11-10 03:10:01
Tensorflow numgrad 188	8975.794176	2022-11-10 03:10:01
Tensorflow numgrad 189	8975.794176	2022-11-10 03:10:02
Tensorflow numgrad 19	8975.794176	2022-11-10 03:10:02
Tensorflow numgrad 190	8975.794176	2022-11-10 03:10:02
Tensorflow numgrad 191	8975.794176	2022-11-10 03:10:03
Tensorflow numgrad 192	8975.794176	2022-11-10 03:10:03
Tensorflow numgrad 193	8975.794176	2022-11-10 03:10:03
Tensorflow numgrad 194	8975.794176	2022-11-10 03:10:04
Tensorflow numgrad 195	8975.794176	2022-11-10 03:10:04
Tensorflow numgrad 196	8975.794176	2022-11-10 03:10:05
Tensorflow numgrad 197	8975.794176	2022-11-10 03:10:05
Tensorflow numgrad 198	8975.794176	2022-11-10 03:10:05
Tensorflow numgrad 199	8975.794176	2022-11-10 03:10:06
Tensorflow numgrad 2	8975.794176	2022-11-10 03:10:06
Tensorflow numgrad 2-Aminobutyricacid2-AminobutyrateProductionexport	8975.794176	2022-11-10 03:10:07
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport	8975.794176	2022-11-10 03:10:07
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport	8975.794176	2022-11-10 03:10:07
Tensorflow numgrad 2-methylbutyrate2-methylbutanoicacidConsumptionimport	8975.794176	2022-11-10 03:10:08
Tensorflow numgrad 20	8975.794176	2022-11-10 03:10:08
Tensorflow numgrad 200	8975.794176	2022-11-10 03:10:08
Tensorflow numgrad 201	8975.794176	2022-11-10 03:10:09
Tensorflow numgrad 202	8975.794176	2022-11-10 03:10:09
Tensorflow numgrad 203	8975.794176	2022-11-10 03:10:10
Tensorflow numgrad 204	8975.794176	2022-11-10 03:10:10
Tensorflow numgrad 205	8975.794176	2022-11-10 03:10:10
Tensorflow numgrad 206	8975.794176	2022-11-10 03:10:11
Tensorflow numgrad 207	8975.794176	2022-11-10 03:10:11
Tensorflow numgrad 208	8975.794176	2022-11-10 03:10:11
Tensorflow numgrad 209	8975.794176	2022-11-10 03:10:12
Tensorflow numgrad 21	8975.794176	2022-11-10 03:10:12
Tensorflow numgrad 210	8975.794176	2022-11-10 03:10:13
