parent,child
h3,g__Corynebacterium|s__resistens
h1,g__Candidatus Accumulibacter|s__phosphatis
h0,g__Rhodococcus|s__sp. P1Y
h5,g__Rickettsia|s__typhi
h6,g__Thermococcus|s__piezophilus
h1,g__Thermus|s__thermophilus
h1,g__Novosphingobium|s__aromaticivorans
h4,g__Mumia|s__sp. ZJ1417
ChenodeoxycholicacidChenodeoxycholateProductionexport,g__Lactobacillus|s__gasseri
h3,g__Planomicrobium|s__glaciei
h5,g__Candidatus Moranella|s__endobia
h0,g__Streptomyces|s__sp. 2114.2
GalactanMacromoleculedegradation,g__Bacteroides|s__thetaiotaomicron
h0,g__Synechococcus|s__sp. MEDNS5
h0,g__Fibrisoma|s__limi
h0,g__Blautia|s__sp. LZLJ-3
h3,g__Streptomyces|s__sp. SS52
f__Nostocaceae,g__Nostoc|s__sp. NIES-2111
h0,g__Mycolicibacterium|s__doricum
h3,g__Hydrogenovibrio|s__marinus
h4,g__Acinetobacter|s__chinensis
h2,g__Shewanella|s__sediminis
h6,g__Aerosticca|s__soli
h7,g__Aequorivita|s__sublithincola
h2,g__Microbacterium|s__sp. RG1
h2,g__Profundibacter|s__amoris
h7,g__Arcobacter|s__skirrowii
h1,g__Clostridium|s__argentinense
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,g__Pseudomonas|s__aeruginosa
h2,g__Candidatus Hodgkinia|s__cicadicola
h8,g__Sphingobium|s__sp. CAP-1
9,g__Flavobacterium|s__sp. 140616W15
h5,g__Terriglobus|s__albidus
h8,g__Paenibacillus|s__sabinae
h8,g__Lentibacillus|s__sp. CBA3610
h1,g__Vibrio|s__taketomensis
h0,g__Litoricola|s__lipolytica
h3,g__Mycobacterium|s__sp. WY10
h8,g__Pontibacter|s__russatus
h0,g__Methanocorpusculum|s__labreanum
h6,g__Arthrobacter|s__sp. PAMC25564
h4,g__Gynuella|s__sunshinyii
h6,g__Psychrobacter|s__sp. DAB_AL60
h9,g__Mycolicibacterium|s__parafortuitum
h9,g__Sphingopyxis|s__sp. MG
h6,g__Massilia|s__sp. YMA4
h1,g__Pseudomonas|s__lactis
h2,g__Acinetobacter|s__sp. FDAARGOS_560
h2,g__Aeromonas|s__sp. 1805
h0,g__Mycobacterium|s__paraseoulense
h4,g__Staphylococcus|s__simulans
h5,g__Thermococcus|s__barophilus
h6,g__Aequorivita|s__sp. H23M31
h7,g__Planobacterium|s__Chryseobacterium taklimakanense
h1,g__Paenibacillus|s__lautus
h0,g__Verminephrobacter|s__eiseniae
h9,g__Malaciobacter|s__Arcobacter canalis
h6,g__Faecalitalea|s__cylindroides
h3,g__Corynebacterium|s__sp. 1959
h1,g__Enterobacter|s__ludwigii
h5,g__Flavobacterium|s__sp. xlx-214
h0,g__Microbacterium|s__sp. PAMC 28756
h7,g__Ligilactobacillus|s__salivarius
h7,g__Acinetobacter|s__sp. ACNIH1
h3,g__Candidatus Blochmannia|s__Blochmannia endosymbiont of Camponotus nipponensis
h7,g__Neisseria|s__musculi
h5,g__Symbiobacterium|s__thermophilum
h6,g__Marinobacterium|s__sp. LSUCC0821
h1,g__Alteromonas|s__sp. 76-1
h4,g__Methanoregula|s__formicica
h8,g__Brachyspira|s__hyodysenteriae
f__Dermabacteraceae,g__Brachybacterium|s__ginsengisoli
h5,g__Arachidicoccus|s__sp. B3-10
h6,g__Ectothiorhodospira|s__haloalkaliphila
h7,g__Olsenella|s__sp. GAM18
h9,g__Hydrogenophaga|s__crassostreae
h0,g__Carnobacterium|s__sp. 17-4
h2,g__Companilactobacillus|s__Lactobacillus allii
h3,g__Microbulbifer|s__sp. YPW1
h7,g__Methanothrix|s__thermoacetophila
h1,g__Streptomyces|s__sp. CC0208
h4,g__Bacillus|s__sp. FJAT-14266
h2,g__Neisseria|s__dentiae
h8,g__Hydrogenobacter|s__sp. T-8
h7,g__Tenacibaculum|s__jejuense
f__Merismopediaceae,g__Synechocystis|s__sp. PCC 6714
f__Muribaculaceae,g__Muribaculum|s__intestinale
h2,g__Haloterrigena|s__sp. YPL8
h3,g__Thermobifida|s__fusca
