Step	Memory_MB	Time
Start	227.991552	2022-11-10 22:12:59
Data loaded	337.027072	2022-11-10 22:12:59
Setup data	459.042816	2022-11-10 22:13:07
Setup Network	497.188864	2022-11-10 22:14:24
Setup Tensorflow NW	855.51104	2022-11-10 22:14:47
Setup Tensorflow	1777.778688	2022-11-10 22:15:21
Initiated Tensorflow	3031.8592	2022-11-10 22:15:25
Prepared Training	3031.8592	2022-11-10 22:15:25
Trained Tensorflow	9673.224192	2022-11-10 23:57:01
Loaded Best Model	9673.224192	2022-11-10 23:57:01
Tensorflow results accuracy	10779.971584	2022-11-11 00:01:24
Tensorflow numgrad 0	11054.98112	2022-11-11 00:03:38
Tensorflow numgrad 1	11586.981888	2022-11-11 00:07:55
Tensorflow numgrad 10	11586.981888	2022-11-11 00:07:55
Tensorflow numgrad 100	11586.981888	2022-11-11 00:07:55
Tensorflow numgrad 101	11586.981888	2022-11-11 00:07:56
Tensorflow numgrad 102	11586.981888	2022-11-11 00:07:56
Tensorflow numgrad 103	11586.981888	2022-11-11 00:07:57
Tensorflow numgrad 104	11586.981888	2022-11-11 00:07:57
Tensorflow numgrad 105	11586.981888	2022-11-11 00:07:57
Tensorflow numgrad 106	11586.981888	2022-11-11 00:07:58
Tensorflow numgrad 107	11586.981888	2022-11-11 00:07:58
Tensorflow numgrad 108	11586.981888	2022-11-11 00:07:59
Tensorflow numgrad 109	11586.981888	2022-11-11 00:07:59
Tensorflow numgrad 11	11586.981888	2022-11-11 00:07:59
Tensorflow numgrad 110	11586.981888	2022-11-11 00:08:00
Tensorflow numgrad 111	11586.981888	2022-11-11 00:08:00
Tensorflow numgrad 112	11586.981888	2022-11-11 00:08:01
Tensorflow numgrad 113	11586.981888	2022-11-11 00:08:01
Tensorflow numgrad 114	11586.981888	2022-11-11 00:08:01
Tensorflow numgrad 115	11586.981888	2022-11-11 00:08:02
Tensorflow numgrad 116	11586.981888	2022-11-11 00:08:02
Tensorflow numgrad 117	11586.981888	2022-11-11 00:08:03
Tensorflow numgrad 118	11586.981888	2022-11-11 00:08:03
Tensorflow numgrad 119	11586.981888	2022-11-11 00:08:03
Tensorflow numgrad 12	11586.981888	2022-11-11 00:08:04
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	11586.981888	2022-11-11 00:08:04
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	11586.981888	2022-11-11 00:08:05
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	11586.981888	2022-11-11 00:08:05
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	11586.981888	2022-11-11 00:08:05
Tensorflow numgrad 120	11586.981888	2022-11-11 00:08:06
Tensorflow numgrad 121	11586.981888	2022-11-11 00:08:06
Tensorflow numgrad 122	11586.981888	2022-11-11 00:08:07
Tensorflow numgrad 123	11586.981888	2022-11-11 00:08:07
Tensorflow numgrad 124	11586.981888	2022-11-11 00:08:08
Tensorflow numgrad 125	11586.981888	2022-11-11 00:08:08
Tensorflow numgrad 126	11586.981888	2022-11-11 00:08:08
Tensorflow numgrad 127	11586.981888	2022-11-11 00:08:09
Tensorflow numgrad 128	11586.981888	2022-11-11 00:08:09
Tensorflow numgrad 129	11586.981888	2022-11-11 00:08:10
Tensorflow numgrad 13	11586.981888	2022-11-11 00:08:10
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	11586.981888	2022-11-11 00:08:10
Tensorflow numgrad 13-PropanediolProductionexport	11586.981888	2022-11-11 00:08:11
Tensorflow numgrad 130	11586.981888	2022-11-11 00:08:11
Tensorflow numgrad 131	11586.981888	2022-11-11 00:08:12
Tensorflow numgrad 132	11586.981888	2022-11-11 00:08:12
Tensorflow numgrad 133	11586.981888	2022-11-11 00:08:12
Tensorflow numgrad 134	11586.981888	2022-11-11 00:08:13
Tensorflow numgrad 135	11586.981888	2022-11-11 00:08:13
Tensorflow numgrad 136	11586.981888	2022-11-11 00:08:14
Tensorflow numgrad 137	11586.981888	2022-11-11 00:08:14
Tensorflow numgrad 138	11586.981888	2022-11-11 00:08:14
Tensorflow numgrad 139	11586.981888	2022-11-11 00:08:15
Tensorflow numgrad 14	11586.981888	2022-11-11 00:08:15
Tensorflow numgrad 140	11586.981888	2022-11-11 00:08:16
Tensorflow numgrad 141	11586.981888	2022-11-11 00:08:16
Tensorflow numgrad 142	11586.981888	2022-11-11 00:08:16
Tensorflow numgrad 143	11586.981888	2022-11-11 00:08:17
Tensorflow numgrad 144	11586.981888	2022-11-11 00:08:17
Tensorflow numgrad 145	11586.981888	2022-11-11 00:08:18
Tensorflow numgrad 146	11586.981888	2022-11-11 00:08:18
Tensorflow numgrad 147	11586.981888	2022-11-11 00:08:18
Tensorflow numgrad 148	11586.981888	2022-11-11 00:08:19
Tensorflow numgrad 149	11586.981888	2022-11-11 00:08:19
Tensorflow numgrad 15	11586.981888	2022-11-11 00:08:20
Tensorflow numgrad 150	11586.981888	2022-11-11 00:08:20
Tensorflow numgrad 151	11586.981888	2022-11-11 00:08:20
Tensorflow numgrad 152	11586.981888	2022-11-11 00:08:21
Tensorflow numgrad 153	11586.981888	2022-11-11 00:08:21
Tensorflow numgrad 154	11586.981888	2022-11-11 00:08:22
Tensorflow numgrad 155	11586.981888	2022-11-11 00:08:22
Tensorflow numgrad 156	11586.981888	2022-11-11 00:08:22
Tensorflow numgrad 157	11586.981888	2022-11-11 00:08:23
Tensorflow numgrad 158	11586.981888	2022-11-11 00:08:23
Tensorflow numgrad 159	11586.981888	2022-11-11 00:08:24
Tensorflow numgrad 16	11586.981888	2022-11-11 00:08:24
Tensorflow numgrad 160	11586.981888	2022-11-11 00:08:25
Tensorflow numgrad 161	11586.981888	2022-11-11 00:08:25
Tensorflow numgrad 162	11586.981888	2022-11-11 00:08:25
Tensorflow numgrad 163	11586.981888	2022-11-11 00:08:26
Tensorflow numgrad 164	11586.981888	2022-11-11 00:08:26
Tensorflow numgrad 165	11586.981888	2022-11-11 00:08:27
Tensorflow numgrad 166	11586.981888	2022-11-11 00:08:27
Tensorflow numgrad 167	11586.981888	2022-11-11 00:08:27
Tensorflow numgrad 168	11586.981888	2022-11-11 00:08:28
Tensorflow numgrad 169	11586.981888	2022-11-11 00:08:28
Tensorflow numgrad 17	11586.981888	2022-11-11 00:08:29
Tensorflow numgrad 170	11586.981888	2022-11-11 00:08:29
Tensorflow numgrad 171	11586.981888	2022-11-11 00:08:29
Tensorflow numgrad 172	11586.981888	2022-11-11 00:08:30
Tensorflow numgrad 173	11586.981888	2022-11-11 00:08:30
Tensorflow numgrad 174	11586.981888	2022-11-11 00:08:31
Tensorflow numgrad 175	11586.981888	2022-11-11 00:08:31
Tensorflow numgrad 176	11586.981888	2022-11-11 00:08:31
Tensorflow numgrad 177	11586.981888	2022-11-11 00:08:32
Tensorflow numgrad 178	11586.981888	2022-11-11 00:08:32
Tensorflow numgrad 179	11586.981888	2022-11-11 00:08:33
Tensorflow numgrad 18	11586.981888	2022-11-11 00:08:33
Tensorflow numgrad 180	11586.981888	2022-11-11 00:08:33
Tensorflow numgrad 181	11586.981888	2022-11-11 00:08:34
Tensorflow numgrad 182	11586.981888	2022-11-11 00:08:34
Tensorflow numgrad 183	11586.981888	2022-11-11 00:08:35
Tensorflow numgrad 184	11586.981888	2022-11-11 00:08:35
Tensorflow numgrad 185	11586.981888	2022-11-11 00:08:35
Tensorflow numgrad 186	11586.981888	2022-11-11 00:08:36
Tensorflow numgrad 187	11586.981888	2022-11-11 00:08:36
Tensorflow numgrad 188	11586.981888	2022-11-11 00:08:37
Tensorflow numgrad 189	11586.981888	2022-11-11 00:08:37
Tensorflow numgrad 19	11586.981888	2022-11-11 00:08:37
Tensorflow numgrad 190	11586.981888	2022-11-11 00:08:38
Tensorflow numgrad 191	11586.981888	2022-11-11 00:08:38
Tensorflow numgrad 192	11586.981888	2022-11-11 00:08:39
Tensorflow numgrad 193	11586.981888	2022-11-11 00:08:39
Tensorflow numgrad 194	11586.981888	2022-11-11 00:08:39
Tensorflow numgrad 195	11586.981888	2022-11-11 00:08:40
Tensorflow numgrad 196	11586.981888	2022-11-11 00:08:40
Tensorflow numgrad 197	11586.981888	2022-11-11 00:08:41
Tensorflow numgrad 198	11586.981888	2022-11-11 00:08:41
Tensorflow numgrad 199	11586.981888	2022-11-11 00:08:41
Tensorflow numgrad 2	11586.981888	2022-11-11 00:08:42
Tensorflow numgrad 2-Aminobutyricacid2-AminobutyrateProductionexport	11586.981888	2022-11-11 00:08:42
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport	11586.981888	2022-11-11 00:08:43
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport	11586.981888	2022-11-11 00:08:43
Tensorflow numgrad 2-methylbutyrate2-methylbutanoicacidConsumptionimport	11586.981888	2022-11-11 00:08:44
Tensorflow numgrad 20	11586.981888	2022-11-11 00:08:44
Tensorflow numgrad 200	11586.981888	2022-11-11 00:08:44
Tensorflow numgrad 201	11586.981888	2022-11-11 00:08:45
Tensorflow numgrad 202	11586.981888	2022-11-11 00:08:45
Tensorflow numgrad 203	11586.981888	2022-11-11 00:08:46
Tensorflow numgrad 204	11586.981888	2022-11-11 00:08:46
Tensorflow numgrad 205	11586.981888	2022-11-11 00:08:46
Tensorflow numgrad 206	11586.981888	2022-11-11 00:08:47
Tensorflow numgrad 207	11586.981888	2022-11-11 00:08:47
Tensorflow numgrad 208	11586.981888	2022-11-11 00:08:48
Tensorflow numgrad 209	11586.981888	2022-11-11 00:08:48
Tensorflow numgrad 21	11586.981888	2022-11-11 00:08:48
Tensorflow numgrad 210	11586.981888	2022-11-11 00:08:49
Tensorflow numgrad 211	11586.981888	2022-11-11 00:08:49
Tensorflow numgrad 213	11586.981888	2022-11-11 00:08:50
Tensorflow numgrad 214	11586.981888	2022-11-11 00:08:50
Tensorflow numgrad 215	11586.981888	2022-11-11 00:08:50
Tensorflow numgrad 216	11586.981888	2022-11-11 00:08:51
Tensorflow numgrad 217	11586.981888	2022-11-11 00:08:51
Tensorflow numgrad 218	11586.981888	2022-11-11 00:08:52
Tensorflow numgrad 219	11586.981888	2022-11-11 00:08:52
Tensorflow numgrad 22	11586.981888	2022-11-11 00:08:52
Tensorflow numgrad 220	11586.981888	2022-11-11 00:08:53
Tensorflow numgrad 221	11586.981888	2022-11-11 00:08:53
Tensorflow numgrad 222	11586.981888	2022-11-11 00:08:54
Tensorflow numgrad 223	11586.981888	2022-11-11 00:08:54
Tensorflow numgrad 224	11586.981888	2022-11-11 00:08:54
Tensorflow numgrad 225	11586.981888	2022-11-11 00:08:55
Tensorflow numgrad 226	11586.981888	2022-11-11 00:08:55
Tensorflow numgrad 227	11586.981888	2022-11-11 00:08:56
Tensorflow numgrad 228	11586.981888	2022-11-11 00:08:56
Tensorflow numgrad 229	11586.981888	2022-11-11 00:08:56
Tensorflow numgrad 23	11586.981888	2022-11-11 00:08:57
Tensorflow numgrad 230	11586.981888	2022-11-11 00:08:57
Tensorflow numgrad 231	11586.981888	2022-11-11 00:08:58
Tensorflow numgrad 232	11586.981888	2022-11-11 00:08:58
Tensorflow numgrad 233	11586.981888	2022-11-11 00:08:58
Tensorflow numgrad 234	11586.981888	2022-11-11 00:08:59
Tensorflow numgrad 235	11586.981888	2022-11-11 00:08:59
Tensorflow numgrad 236	11586.981888	2022-11-11 00:09:00
Tensorflow numgrad 237	11586.981888	2022-11-11 00:09:00
Tensorflow numgrad 238	11586.981888	2022-11-11 00:09:01
Tensorflow numgrad 239	11586.981888	2022-11-11 00:09:01
Tensorflow numgrad 24	11586.981888	2022-11-11 00:09:01
Tensorflow numgrad 240	11586.981888	2022-11-11 00:09:02
Tensorflow numgrad 241	11586.981888	2022-11-11 00:09:02
Tensorflow numgrad 242	11586.981888	2022-11-11 00:09:03
Tensorflow numgrad 243	11586.981888	2022-11-11 00:09:03
Tensorflow numgrad 244	11586.981888	2022-11-11 00:09:03
Tensorflow numgrad 245	11586.981888	2022-11-11 00:09:04
Tensorflow numgrad 246	11586.981888	2022-11-11 00:09:04
Tensorflow numgrad 247	11586.981888	2022-11-11 00:09:05
Tensorflow numgrad 248	11586.981888	2022-11-11 00:09:05
Tensorflow numgrad 249	11586.981888	2022-11-11 00:09:05
Tensorflow numgrad 25	11586.981888	2022-11-11 00:09:06
Tensorflow numgrad 250	11586.981888	2022-11-11 00:09:06
Tensorflow numgrad 251	11586.981888	2022-11-11 00:09:07
Tensorflow numgrad 252	11586.981888	2022-11-11 00:09:07
Tensorflow numgrad 253	11586.981888	2022-11-11 00:09:07
Tensorflow numgrad 254	11586.981888	2022-11-11 00:09:08
Tensorflow numgrad 255	11586.981888	2022-11-11 00:09:08
Tensorflow numgrad 256	11586.981888	2022-11-11 00:09:09
Tensorflow numgrad 257	11586.981888	2022-11-11 00:09:09
Tensorflow numgrad 258	11586.981888	2022-11-11 00:09:09
Tensorflow numgrad 259	11586.981888	2022-11-11 00:09:10
Tensorflow numgrad 26	11586.981888	2022-11-11 00:09:10
Tensorflow numgrad 260	11586.981888	2022-11-11 00:09:11
Tensorflow numgrad 261	11586.981888	2022-11-11 00:09:11
Tensorflow numgrad 262	11586.981888	2022-11-11 00:09:11
Tensorflow numgrad 263	11586.981888	2022-11-11 00:09:12
Tensorflow numgrad 264	11586.981888	2022-11-11 00:09:12
Tensorflow numgrad 265	11586.981888	2022-11-11 00:09:13
Tensorflow numgrad 266	11586.981888	2022-11-11 00:09:13
Tensorflow numgrad 267	11586.981888	2022-11-11 00:09:13
Tensorflow numgrad 268	11586.981888	2022-11-11 00:09:14
