Step	Memory_MB	Time
Start	227.79904	2022-11-11 16:32:41
Data loaded	336.879616	2022-11-11 16:32:42
Setup data	445.861888	2022-11-11 16:32:50
Setup Network	488.943616	2022-11-11 16:34:13
Setup Tensorflow NW	1185.452032	2022-11-11 16:34:48
Setup Tensorflow	3058.847744	2022-11-11 16:35:57
Initiated Tensorflow	5349.924864	2022-11-11 16:36:06
Prepared Training	5349.924864	2022-11-11 16:36:06
Trained Tensorflow	19623.268352	2022-11-11 18:27:01
Loaded Best Model	19623.268352	2022-11-11 18:27:01
Tensorflow results accuracy	21307.080704	2022-11-11 18:33:15
Tensorflow numgrad 0	21674.881024	2022-11-11 18:36:26
Tensorflow numgrad 1	22403.272704	2022-11-11 18:42:05
Tensorflow numgrad 10	22403.272704	2022-11-11 18:42:06
Tensorflow numgrad 100	22403.272704	2022-11-11 18:42:06
Tensorflow numgrad 101	22403.272704	2022-11-11 18:42:07
Tensorflow numgrad 102	22403.272704	2022-11-11 18:42:07
Tensorflow numgrad 103	22403.272704	2022-11-11 18:42:08
Tensorflow numgrad 104	22403.272704	2022-11-11 18:42:08
Tensorflow numgrad 105	22403.272704	2022-11-11 18:42:09
Tensorflow numgrad 106	22403.272704	2022-11-11 18:42:09
Tensorflow numgrad 107	22403.272704	2022-11-11 18:42:10
Tensorflow numgrad 108	22403.272704	2022-11-11 18:42:10
Tensorflow numgrad 109	22403.272704	2022-11-11 18:42:11
Tensorflow numgrad 11	22403.272704	2022-11-11 18:42:11
Tensorflow numgrad 110	22403.272704	2022-11-11 18:42:12
Tensorflow numgrad 111	22403.272704	2022-11-11 18:42:12
Tensorflow numgrad 112	22403.272704	2022-11-11 18:42:12
Tensorflow numgrad 113	22403.272704	2022-11-11 18:42:13
Tensorflow numgrad 114	22403.272704	2022-11-11 18:42:13
Tensorflow numgrad 115	22403.272704	2022-11-11 18:42:14
Tensorflow numgrad 116	22403.272704	2022-11-11 18:42:14
Tensorflow numgrad 117	22403.272704	2022-11-11 18:42:15
Tensorflow numgrad 118	22403.272704	2022-11-11 18:42:15
Tensorflow numgrad 119	22403.272704	2022-11-11 18:42:16
Tensorflow numgrad 12	22403.272704	2022-11-11 18:42:16
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	22403.272704	2022-11-11 18:42:17
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	22403.272704	2022-11-11 18:42:17
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	22403.272704	2022-11-11 18:42:18
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	22403.272704	2022-11-11 18:42:18
Tensorflow numgrad 120	22403.272704	2022-11-11 18:42:19
Tensorflow numgrad 121	22403.272704	2022-11-11 18:42:19
Tensorflow numgrad 122	22403.272704	2022-11-11 18:42:20
Tensorflow numgrad 123	22403.272704	2022-11-11 18:42:20
Tensorflow numgrad 124	22403.272704	2022-11-11 18:42:21
Tensorflow numgrad 125	22403.272704	2022-11-11 18:42:21
Tensorflow numgrad 126	22403.272704	2022-11-11 18:42:22
Tensorflow numgrad 127	22403.272704	2022-11-11 18:42:22
Tensorflow numgrad 128	22403.272704	2022-11-11 18:42:23
Tensorflow numgrad 129	22403.272704	2022-11-11 18:42:23
Tensorflow numgrad 13	22403.272704	2022-11-11 18:42:24
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	22403.272704	2022-11-11 18:42:24
Tensorflow numgrad 13-PropanediolProductionexport	22403.272704	2022-11-11 18:42:25
Tensorflow numgrad 130	22403.272704	2022-11-11 18:42:25
Tensorflow numgrad 131	22403.272704	2022-11-11 18:42:26
Tensorflow numgrad 132	22403.272704	2022-11-11 18:42:26
Tensorflow numgrad 133	22403.272704	2022-11-11 18:42:27
Tensorflow numgrad 134	22403.272704	2022-11-11 18:42:27
Tensorflow numgrad 135	22403.272704	2022-11-11 18:42:28
Tensorflow numgrad 136	22403.272704	2022-11-11 18:42:28
Tensorflow numgrad 137	22403.272704	2022-11-11 18:42:29
Tensorflow numgrad 138	22403.272704	2022-11-11 18:42:29
Tensorflow numgrad 139	22403.272704	2022-11-11 18:42:30
Tensorflow numgrad 14	22403.272704	2022-11-11 18:42:30
Tensorflow numgrad 140	22403.272704	2022-11-11 18:42:31
Tensorflow numgrad 141	22403.272704	2022-11-11 18:42:31
Tensorflow numgrad 142	22403.272704	2022-11-11 18:42:32
Tensorflow numgrad 143	22403.272704	2022-11-11 18:42:32
Tensorflow numgrad 144	22403.272704	2022-11-11 18:42:33
Tensorflow numgrad 145	22403.272704	2022-11-11 18:42:33
Tensorflow numgrad 146	22403.272704	2022-11-11 18:42:34
Tensorflow numgrad 147	22403.272704	2022-11-11 18:42:34
Tensorflow numgrad 148	22403.272704	2022-11-11 18:42:35
Tensorflow numgrad 149	22403.272704	2022-11-11 18:42:35
Tensorflow numgrad 15	22403.272704	2022-11-11 18:42:36
Tensorflow numgrad 150	22403.272704	2022-11-11 18:42:36
Tensorflow numgrad 151	22403.272704	2022-11-11 18:42:37
Tensorflow numgrad 152	22403.272704	2022-11-11 18:42:37
Tensorflow numgrad 153	22403.272704	2022-11-11 18:42:38
Tensorflow numgrad 154	22403.272704	2022-11-11 18:42:38
Tensorflow numgrad 155	22403.272704	2022-11-11 18:42:39
Tensorflow numgrad 156	22403.272704	2022-11-11 18:42:39
Tensorflow numgrad 157	22403.272704	2022-11-11 18:42:40
Tensorflow numgrad 158	22403.272704	2022-11-11 18:42:40
Tensorflow numgrad 159	22403.272704	2022-11-11 18:42:41
Tensorflow numgrad 16	22403.272704	2022-11-11 18:42:41
Tensorflow numgrad 160	22403.272704	2022-11-11 18:42:42
Tensorflow numgrad 161	22403.272704	2022-11-11 18:42:42
