Step	Memory_MB	Time
Start	220.91776	2022-11-09 05:39:16
Data loaded	331.943936	2022-11-09 05:39:17
Setup data	404.922368	2022-11-09 05:39:22
Setup Network	430.579712	2022-11-09 05:40:12
Setup Tensorflow NW	662.265856	2022-11-09 05:40:27
Setup Tensorflow	1218.207744	2022-11-09 05:40:48
Initiated Tensorflow	1993.117696	2022-11-09 05:40:50
Prepared Training	1993.117696	2022-11-09 05:40:50
Trained Tensorflow	5058.936832	2022-11-09 06:28:09
Loaded Best Model	5058.936832	2022-11-09 06:28:09
Tensorflow results accuracy	5691.957248	2022-11-09 06:30:57
Tensorflow numgrad 0	5903.7696	2022-11-09 06:32:23
Tensorflow numgrad 1	6214.582272	2022-11-09 06:35:09
Tensorflow numgrad 10	6214.582272	2022-11-09 06:35:09
Tensorflow numgrad 100	6214.582272	2022-11-09 06:35:09
Tensorflow numgrad 101	6214.582272	2022-11-09 06:35:10
Tensorflow numgrad 102	6214.582272	2022-11-09 06:35:10
Tensorflow numgrad 103	6214.582272	2022-11-09 06:35:10
Tensorflow numgrad 104	6214.582272	2022-11-09 06:35:11
Tensorflow numgrad 105	6214.582272	2022-11-09 06:35:11
Tensorflow numgrad 106	6214.582272	2022-11-09 06:35:11
Tensorflow numgrad 107	6214.582272	2022-11-09 06:35:11
Tensorflow numgrad 108	6214.582272	2022-11-09 06:35:12
Tensorflow numgrad 109	6214.582272	2022-11-09 06:35:12
Tensorflow numgrad 11	6214.582272	2022-11-09 06:35:12
Tensorflow numgrad 110	6214.582272	2022-11-09 06:35:12
Tensorflow numgrad 111	6214.582272	2022-11-09 06:35:13
Tensorflow numgrad 112	6214.582272	2022-11-09 06:35:13
Tensorflow numgrad 113	6214.582272	2022-11-09 06:35:13
Tensorflow numgrad 114	6214.582272	2022-11-09 06:35:13
Tensorflow numgrad 115	6214.582272	2022-11-09 06:35:14
Tensorflow numgrad 116	6214.582272	2022-11-09 06:35:14
Tensorflow numgrad 117	6214.582272	2022-11-09 06:35:14
Tensorflow numgrad 118	6214.582272	2022-11-09 06:35:15
Tensorflow numgrad 119	6214.582272	2022-11-09 06:35:15
Tensorflow numgrad 12	6214.582272	2022-11-09 06:35:15
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	6214.582272	2022-11-09 06:35:15
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	6214.582272	2022-11-09 06:35:16
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	6214.582272	2022-11-09 06:35:16
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	6214.582272	2022-11-09 06:35:16
Tensorflow numgrad 120	6214.582272	2022-11-09 06:35:16
Tensorflow numgrad 121	6214.582272	2022-11-09 06:35:17
Tensorflow numgrad 122	6214.582272	2022-11-09 06:35:17
Tensorflow numgrad 123	6214.582272	2022-11-09 06:35:17
Tensorflow numgrad 124	6214.582272	2022-11-09 06:35:17
Tensorflow numgrad 125	6214.582272	2022-11-09 06:35:18
Tensorflow numgrad 126	6214.582272	2022-11-09 06:35:18
Tensorflow numgrad 127	6214.582272	2022-11-09 06:35:18
Tensorflow numgrad 128	6214.582272	2022-11-09 06:35:19
Tensorflow numgrad 129	6214.582272	2022-11-09 06:35:19
