Step	Memory_MB	Time
Start	227.913728	2022-11-10 04:57:51
Data loaded	339.173376	2022-11-10 04:57:51
Setup data	401.739776	2022-11-10 04:57:53
Setup Network	410.906624	2022-11-10 04:58:11
Setup Tensorflow NW	616.288256	2022-11-10 04:58:21
Setup Tensorflow	1292.058624	2022-11-10 04:58:45
Initiated Tensorflow	2078.076928	2022-11-10 04:58:48
Prepared Training	2078.076928	2022-11-10 04:58:48
Trained Tensorflow	3501.748224	2022-11-10 05:24:44
Loaded Best Model	3501.748224	2022-11-10 05:24:44
Tensorflow results accuracy	4028.903424	2022-11-10 05:26:05
Tensorflow numgrad 0	4135.26016	2022-11-10 05:26:47
Tensorflow numgrad 1	4333.95712	2022-11-10 05:28:04
Tensorflow numgrad 10	4333.95712	2022-11-10 05:28:04
Tensorflow numgrad 100	4333.95712	2022-11-10 05:28:04
Tensorflow numgrad 101	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 102	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 103	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 104	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 105	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 106	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 107	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 108	4333.95712	2022-11-10 05:28:05
Tensorflow numgrad 109	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 11	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 110	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 111	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 112	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 113	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 114	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 115	4333.95712	2022-11-10 05:28:06
Tensorflow numgrad 116	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 117	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 118	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 119	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 12	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	4333.95712	2022-11-10 05:28:07
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	4333.95712	2022-11-10 05:28:08
Tensorflow numgrad 120	4333.95712	2022-11-10 05:28:08
Tensorflow numgrad 121	4333.95712	2022-11-10 05:28:08
Tensorflow numgrad 122	4333.95712	2022-11-10 05:28:08
Tensorflow numgrad 123	4333.95712	2022-11-10 05:28:08
Tensorflow numgrad 124	4333.95712	2022-11-10 05:28:08
Tensorflow numgrad 125	4333.95712	2022-11-10 05:28:08
Tensorflow numgrad 126	4333.95712	2022-11-10 05:28:09
