Step	Memory_MB	Time
Start	221.298688	2022-11-09 11:07:03
Data loaded	332.873728	2022-11-09 11:07:03
Setup data	395.030528	2022-11-09 11:07:05
Setup Network	404.21376	2022-11-09 11:07:23
Setup Tensorflow NW	571.785216	2022-11-09 11:07:32
Setup Tensorflow	1131.061248	2022-11-09 11:07:52
Initiated Tensorflow	1788.850176	2022-11-09 11:07:54
Prepared Training	1790.717952	2022-11-09 11:07:54
Trained Tensorflow	3036.348416	2022-11-09 11:31:45
Loaded Best Model	3036.348416	2022-11-09 11:31:45
Tensorflow results accuracy	3491.864576	2022-11-09 11:33:00
Tensorflow numgrad 0	3588.493312	2022-11-09 11:33:38
Tensorflow numgrad 1	3767.185408	2022-11-09 11:34:50
Tensorflow numgrad 10	3767.185408	2022-11-09 11:34:50
Tensorflow numgrad 100	3767.185408	2022-11-09 11:34:50
Tensorflow numgrad 101	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 102	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 103	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 104	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 105	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 106	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 107	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 108	3767.185408	2022-11-09 11:34:51
Tensorflow numgrad 109	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 11	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 110	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 111	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 112	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 113	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 114	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 115	3767.185408	2022-11-09 11:34:52
Tensorflow numgrad 116	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 117	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 118	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 119	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 12	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	3767.185408	2022-11-09 11:34:53
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 120	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 121	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 122	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 123	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 124	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 125	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 126	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 127	3767.185408	2022-11-09 11:34:54
Tensorflow numgrad 128	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 129	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 13	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 13-PropanediolProductionexport	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 130	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 131	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 132	3767.185408	2022-11-09 11:34:55
Tensorflow numgrad 133	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 134	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 135	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 136	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 137	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 138	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 139	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 14	3767.185408	2022-11-09 11:34:56
Tensorflow numgrad 140	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 141	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 142	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 143	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 144	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 145	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 146	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 147	3767.185408	2022-11-09 11:34:57
Tensorflow numgrad 148	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 149	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 15	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 150	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 151	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 152	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 153	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 154	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 155	3767.185408	2022-11-09 11:34:58
Tensorflow numgrad 156	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 157	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 158	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 159	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 16	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 160	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 161	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 162	3767.185408	2022-11-09 11:34:59
Tensorflow numgrad 163	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 164	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 165	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 166	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 167	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 168	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 169	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 17	3767.185408	2022-11-09 11:35:00
Tensorflow numgrad 170	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 171	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 172	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 173	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 174	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 175	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 176	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 177	3767.185408	2022-11-09 11:35:01
Tensorflow numgrad 178	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 179	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 18	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 180	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 181	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 182	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 183	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 184	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 185	3767.185408	2022-11-09 11:35:02
Tensorflow numgrad 186	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 187	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 188	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 189	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 19	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 190	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 191	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 192	3767.185408	2022-11-09 11:35:03
Tensorflow numgrad 193	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 194	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 195	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 196	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 197	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 198	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 199	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 2	3767.185408	2022-11-09 11:35:04
Tensorflow numgrad 2-Aminobutyricacid2-AminobutyrateProductionexport	3767.185408	2022-11-09 11:35:05
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport	3767.185408	2022-11-09 11:35:05
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport	3767.185408	2022-11-09 11:35:05
Tensorflow numgrad 2-methylbutyrate2-methylbutanoicacidConsumptionimport	3767.185408	2022-11-09 11:35:05
