barcode,output
SAMN06110339.s,0
SAMN06110379.s,0
SAMN00045549.s,0
SAMEA3708568.s,0
SAMEA3664603.s,0
SAMN06110446.s,0
SAMEA2152591.s,0
SAMEA3664787.s,0
SAMN06110082.s,0
SAMN07424499.s,0
SAMEA3664826.s,0
SAMEA4431972.s,0
SAMEA2737864.s,0
SAMN05414932.s,0
SAMN07424389.s,0
SAMEA2737798.s,0
SAMN00791962.s,0
SAMEA2581944.s,0
SAMEA3664499.s,0
SAMN06110428.s,0
SAMEA2581977.s,0
SAMN06110437.s,0
SAMN06110436.s,0
SAMEA3665152.s,0
SAMN06110372.s,0
SAMN06110298.s,0
SAMN06110394.s,0
SAMEA2580128.s,0
SAMN06110237.s,0
SAMEA3664777.s,0
SAMN06110360.s,0
SAMEA3182050.s,0
SAMEA2580204.s,0
SAMEA3879600.s,0
SAMEA3646761.s,0
SAMEA2737799.s,0
SAMEA3664532.s,0
SAMEA3708629.s,0
SAMN07534870.s,0
SAMN06110459.s,0
SAMEA3708613.s,0
SAMN06110441.s,0
SAMEA3646754.s,0
SAMN06110065.s,0
SAMEA3664904.s,0
SAMEA3665264.s,0
SAMEA3879568.s,0
SAMN00146356.s,0
SAMN00045350.s,0
SAMEA2467017.s,0
SAMN00143093.s,0
SAMEA3664934.s,0
SAMEA2581943.s,0
SAMEA3665171.s,0
SAMEA3951610.s,0
SAMEA3664672.s,0
SAMEA3665123.s,0
SAMEA3708605.s,0
SAMN00715195.s,0
SAMN06110030.s,0
SAMEA53406418.s,0
SAMN00039793.s,0
SAMN03418278.s,0
SAMN06110327.s,0
SAMN00074361.s,0
SAMN06110438.s,0
SAMEA3664902.s,0
SAMEA3665202.s,0
SAMN00100110.s,0
SAMN00715178.s,0
SAMEA3664758.s,0
SAMEA3665108.s,0
SAMEA3664608.s,0
SAMEA3646759.s,0
SAMEA4431985.s,0
SAMEA3664773.s,0
SAMN06110000.s,0
SAMN06110056.s,0
SAMEA2581911.s,0
SAMEA3665110.s,0
SAMEA3646706.s,0
SAMEA3665173.s,0
SAMN06110185.s,0
SAMN06110133.s,0
SAMEA3665224.s,0
SAMN04329836.s,0
SAMEA3664880.s,0
SAMEA3664632.s,0
SAMEA2466892.s,0
SAMEA2581929.s,0
SAMEA1906481.s,0
SAMEA3664582.s,0
SAMN03283250.s,0
SAMN05414909.s,0
SAMEA3665048.s,0
SAMEA3664497.s,0
SAMN03418272.s,0
SAMEA2467027.s,0
SAMN06110368.s,0
SAMEA3951641.s,0
SAMN04329826.s,0
SAMEA3664832.s,0
SAMN00791971.s,0
SAMEA3664957.s,0
SAMN06110159.s,0
SAMEA3664523.s,0
SAMN05414921.s,0
SAMEA3665178.s,0
SAMEA3664610.s,0
SAMN01760943.s,0
SAMN06110362.s,0
SAMEA3664538.s,0
SAMEA3951618.s,0
SAMEA3665252.s,0
SAMEA3646680.s,0
SAMN05414971.s,0
SAMEA3646671.s,0
SAMN06110380.s,0
SAMN00040819.s,0
SAMEA3664997.s,0
SAMEA3664545.s,0
SAMN00142815.s,0
SAMEA2142349.s,0
SAMEA3664688.s,0
SAMN00065013.s,0
SAMEA2580196.s,0
SAMEA104142331.s,0
SAMN06110348.s,0
SAMEA3646682.s,0
SAMN05414924.s,0
SAMEA2580026.s,0
SAMEA3664597.s,0
SAMEA3665193.s,0
SAMEA2581966.s,0
SAMEA3664665.s,0
SAMEA3708551.s,0
SAMEA3708603.s,0
SAMEA3665041.s,0
SAMEA3664681.s,0
SAMEA3665111.s,0
SAMN06110361.s,0
SAMEA3664866.s,0
SAMN00074965.s,0
SAMEA3664810.s,0
SAMN06110172.s,0
SAMN00036587.s,0
SAMN06110010.s,0
SAMN07534215.s,0
