parent,child
h1,g__Empedobacter|s__brevis
h7,g__Hungateiclostridium|s__thermocellum
h7,g__Chloroflexus|s__aggregans
h9,g__Sphingobium|s__sp. PAMC28499
h1,g__Proteus|s__hauseri
h7,g__Pantoea|s__sp. At-9b
h6,g__Sphingobacterium|s__sp. G1-14
h0,g__Duganella|s__sp. AF9R3
h7,g__Thermococcus|s__sp. AM4
h5,g__Pseudoalteromonas|s__rubra
h3,g__Deinococcus|s__soli Cha et al. 2016
h9,g__Candidatus Pelagibacter|s__sp. IMCC9063
h7,g__Pseudomonas|s__sp. BIGb0427
h7,g__Methylovulum|s__psychrotolerans
h3,g__Haloferax|s__alexandrinus
h4,g__Candidatus Phytoplasma|s__Chinaberry witches'-broom phytoplasma
h2,g__Lachnoclostridium|s__phytofermentans
h7,g__Thermococcus|s__sp. IOH1
h3,g__Pseudomonas|s__sp. PONIH3
h8,g__Syntrophobacter|s__fumaroxidans
h1,g__Rhizobium|s__sp. CIAT894
h5,g__Shigella|s__boydii
h6,g__Limosilactobacillus|s__Lactobacillus mucosae
h6,g__Paracoccus|s__marcusii
h8,g__Marinobacter|s__psychrophilus
k__Bacteria,g__Synechococcus|s__sp. BMK-MC-1
k__Bacteria,g__Chromobacterium|s__paludis
output,UreaProductionexport
h5,g__Staphylococcus|s__agnetis
h7,g__Novosphingobium|s__sp. KA1
h4,g__Olsenella|s__timonensis
CO2Productionexport,g__Bacillus|s__anthracis
h4,g__Novosphingobium|s__sp. Gsoil 351
k__Bacteria,g__Synechococcus|s__sp. WH 8101
h8,g__Alcanivorax|s__pacificus
k__Bacteria,g__Roseimaritima|s__ulvae
h7,g__Candidatus Thioglobus|s__singularis
h0,g__Ornithinimicrobium|s__sp. AMA3305
h8,g__Rahnella|s__sp. WMR114
h2,g__Streptococcus|s__pantholopis
h6,g__Candidatus Riesia|s__pediculischaeffi
BiotinVitaminB7Consumptionimport,g__Listeria|s__monocytogenes
k__Bacteria,g__Staphylococcus|s__simulans
h3,g__Vulcanisaeta|s__distributa
h7,g__Chryseobacterium|s__shandongense
h4,g__Mobilicoccus|s__sp. NJES-13
h8,g__Plantibacter|s__sp. M259
h6,g__Corynebacterium|s__sp. 1959
h1,g__Pseudomonas|s__glycinae
h2,g__Pantoea|s__sp. At-9b
h4,g__Synechococcus|s__sp. RS9907
h6,g__Pseudomonas|s__salegens
k__Bacteria,g__Sporolactobacillus|s__terrae
h7,g__Streptomyces|s__rochei
h6,g__Azoarcus|s__sp. DD4
h6,g__Lacrimispora|s__saccharolytica
h0,g__Microbacterium|s__amylolyticum
h6,g__Jeotgalibaca|s__arthritidis
h7,g__Escherichia|s__sp. SCLE84
h8,g__Elizabethkingia|s__sp. JS20170427COW
h5,g__Natronomonas|s__moolapensis
h0,g__Mycobacterium|s__celatum
k__Bacteria,g__Treponema|s__sp. Marseille-Q4132
k__Bacteria,g__Corynebacterium|s__atypicum
h6,g__Mycobacterium|s__sp. MOTT36Y
119,g__Granulibacter|s__bethesdensis
h7,g__Vibrio|s__sp. 0908
h1,g__Spiroplasma|s__clarkii
h8,g__Campylobacter|s__sp. RM6137
h8,g__Bosea|s__vaviloviae
h8,g__Devosia|s__sp. MC521
h7,g__Pseudanabaena|s__sp. ABRG5-3
h5,g__Phycicoccus|s__dokdonensis
h1,g__Variovorax|s__sp. DB1
h2,g__Desulfovibrio|s__sulfodismutans
h3,g__Enterococcus|s__sp. FDAARGOS_375
h0,g__Kiritimatiella|s__glycovorans
k__Bacteria,g__Salaquimonas|s__pukyongi
k__Bacteria,g__Shewanella|s__donghaensis
h3,g__Pseudoleptotrichia|s__goodfellowii
h5,g__Pandoraea|s__norimbergensis
h0,g__Wolbachia|s__endosymbiont of Folsomia candida
h3,g__Gramella|s__echinicola
h1,g__Haloterrigena|s__turkmenica
h1,g__Arachidicoccus|s__sp. B3-10
h8,g__Niabella|s__ginsenosidivorans
h0,g__Corynebacterium|s__sp. sy039
h2,g__Avibacterium|s__paragallinarum
h1,g__Euzebyella|s__marina
h3,g__Psychrobacter|s__arcticus
D-GlucosamineGlucosamineConsumptionimport,g__Bacteroides|s__fragilis
4,g__Marinobacter|s__sp. Arc7-DN-1
EthanolProductionexport,g__Streptococcus|s__sanguinis
h4,g__Sphingomonas|s__sp. LMO-1
h6,g__Rufibacter|s__sp. DG15C
h3,g__Clostridium|s__sp. JN-9
h8,g__Proteus|s__sp. 3M
h0,g__Mycolicibacterium|s__hassiacum
k__Bacteria,g__Flavobacterium|s__anhuiense
h1,g__Neisseria|s__animalis
h8,g__Seonamhaeicola|s__sp. S2-3
MethylamineMonomethylamineConsumptionimport,g__Paracoccus|s__denitrificans
h4,g__Roseovarius|s__sp. THAF8
h2,g__Stanieria|s__sp. NIES-3757
13,g__Streptococcus|s__cristatus
h5,g__Chryseobacterium|s__sp. T16E-39
h7,g__Thermomonas|s__sp. XSG
h7,g__Kinneretia|s__sp. DAIF2
h1,g__Mycobacterium|s__shigaense
h4,g__Streptomyces|s__sp. RPA4-2
h4,g__Pseudomonas|s__sp. SCB32
h4,g__Hydrogenovibrio|s__thermophilus
h4,g__Paenibacillus|s__jilunlii
h5,g__Flavobacterium|s__sp. I3-2
h0,g__Bacillus|s__miscanthi
94,g__Mycoplasma|s__sp. Mirounga ES2806-NAS
h0,g__Nautilia|s__sp. PV-1
h0,g__Tolumonas|s__auensis
h1,g__Mycoplasma|s__wenyonii
h1,g__Thermomonas|s__sp. HDW16
h4,g__Terasakiella|s__sp. SH-1
h4,g__Rhodococcus|s__sp. M8
h6,g__Aerosticca|s__soli
h1,g__Acholeplasma|s__laidlawii
h2,g__Vibrio|s__sp. 0908
h9,g__Pseudomonas|s__brassicacearum
h8,g__Thermosulfuriphilus|s__ammonigenes
h4,g__Parasphingopyxis|s__algicola
h7,g__Escherichia|s__coli
FolicacidFolateVitaminB9Consumptionimport,g__Mycoplasma|s__capricolum
h4,g__Saccharospirillum|s__mangrovi
h5,g__Corynebacterium|s__endometrii
h5,g__Edwardsiella|s__tarda
