Step	Memory_MB	Time
Start	220.401664	2022-11-09 01:52:04
Data loaded	331.55072	2022-11-09 01:52:05
Setup data	410.86976	2022-11-09 01:52:06
Setup Network	416.034816	2022-11-09 01:52:16
Setup Tensorflow NW	536.387584	2022-11-09 01:52:23
Setup Tensorflow	1045.639168	2022-11-09 01:52:41
Initiated Tensorflow	1629.47072	2022-11-09 01:52:43
Prepared Training	1631.481856	2022-11-09 01:52:43
Trained Tensorflow	2373.296128	2022-11-09 02:11:12
Loaded Best Model	2373.296128	2022-11-09 02:11:12
Tensorflow results accuracy	2740.412416	2022-11-09 02:12:01
Tensorflow numgrad 0	2812.502016	2022-11-09 02:12:26
Tensorflow numgrad 1	2942.246912	2022-11-09 02:13:13
Tensorflow numgrad 10	2942.246912	2022-11-09 02:13:13
Tensorflow numgrad 100	2942.246912	2022-11-09 02:13:13
Tensorflow numgrad 101	2942.246912	2022-11-09 02:13:13
Tensorflow numgrad 102	2942.246912	2022-11-09 02:13:13
Tensorflow numgrad 103	2942.246912	2022-11-09 02:13:13
Tensorflow numgrad 104	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 105	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 106	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 107	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 108	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 109	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 11	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 110	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 111	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 112	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 113	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 114	2942.246912	2022-11-09 02:13:14
Tensorflow numgrad 115	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 116	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 117	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 118	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 119	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 12	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 120	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 121	2942.246912	2022-11-09 02:13:15
Tensorflow numgrad 122	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 123	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 124	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 125	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 126	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 127	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 128	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 129	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 13	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 13-PropanediolProductionexport	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 130	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 131	2942.246912	2022-11-09 02:13:16
Tensorflow numgrad 132	2942.246912	2022-11-09 02:13:17
Tensorflow numgrad 133	2942.246912	2022-11-09 02:13:17
Tensorflow numgrad 134	2942.246912	2022-11-09 02:13:17
